City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,lata,40.1629,-8.3327,21.15,65,6,4.69,PT,1690223455
331,richards bay,-28.783,32.0377,16.55,73,100,2.68,ZA,1690223505
332,tindouf,27.6711,-8.1474,43.25,13,14,4.12,DZ,1690223755
333,murzuq,25.9155,13.9184,35.24,14,0,3.01,LY,1690223755
334,monrovia,6.3005,-10.7969,26.87,84,99,4.52,LR,1690223637
335,miquelon,47.0975,-56.3814,20.0,99,94,6.21,PM,1690223756
336,greymouth,-42.4667,171.2,5.77,89,65,1.69,NZ,1690223757
337,kenai,60.5544,-151.2583,15.05,88,100,4.63,US,1690223676
338,saynshand,44.8824,110.1163,24.21,30,76,2.28,MN,1690223757
339,natal,-5.795,-35.2094,28.36,65,20,9.77,BR,1690223529
340,palikir - national government center,6.9248,158.1611,24.41,94,100,4.12,FM,1690223758
341,portales,34.1862,-103.3344,37.28,17,0,1.79,US,1690223758
342,truth or consequences,33.1284,-107.2528,36.06,21,0,4.63,US,1690223580
343,prince albert,53.2001,-105.7677,23.97,69,100,6.69,CA,1690223705
344,panaba,21.2833,-88.2667,37.34,33,100,4.28,MX,1690223759
345,kochkor-ata,41.0389,72.4833,27.62,28,5,3.13,UZ,1690223759
346,kayangel,8.0823,134.7173,28.03,79,100,5.12,PW,1690223760
347,zaozersk,69.4005,32.4476,9.15,97,100,5.44,RU,1690223598
348,ancud,-41.8697,-73.8203,8.24,90,100,9.5,CL,1690223760
349,pionerskiy,54.9508,20.2275,20.91,73,100,4.41,RU,1690223760
350,manokwari,-0.8667,134.0833,25.63,80,94,2.19,ID,1690223761
351,maloye ganyushkino,46.6,49.2667,26.0,54,89,4.86,KZ,1690223761
352,kingston,17.997,-76.7936,35.13,61,20,10.29,JM,1690223499
353,souillac,-20.5167,57.5167,23.21,78,75,5.66,MU,1690223761
354,kuqa,41.7278,82.9364,29.32,27,4,0.61,CN,1690223761
355,irece,-11.3042,-41.8558,25.76,42,28,8.31,BR,1690223762
356,diamantino,-14.4086,-56.4461,35.5,18,0,1.14,BR,1690223762
357,antofagasta,-23.65,-70.4,18.6,71,31,3.76,CL,1690223762
358,tezu,27.9167,96.1667,25.21,87,100,1.56,IN,1690223762
359,cururupu,-1.8283,-44.8683,29.13,65,50,2.22,BR,1690223763
